H2O_1,H2O_2,H2O_3,O3_Hartley,O3_Huggins,O3_Chappuis
0.0171627,0.3029066,2.336536,24063.912,2438.91,7.04574
0.0171627,0.3029066,2.336536,24063.912,2438.91,7.04574
0.0171627,0.3029066,2.336536,24063.912,2438.91,7.04574
0.0171627,0.3029066,2.336536,24063.912,2438.91,7.04574
0.0171627,0.3029066,2.336536,24063.912,2438.91,7.04574
0.0171627,0.3029066,2.336536,24063.912,2438.91,7.04574
0.0171627,0.3029066,2.336536,24063.912,2438.91,7.04574
0.0171627,0.3029066,2.336536,24063.912,2438.91,7.04574
0.0171627,0.3029066,2.336536,24063.912,2438.91,7.04574
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.4364929879999995
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.43649298473
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.43649298605
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.43649298387
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.436492984419999
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.4364929841
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.43649298464
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.43649298391
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.43649298403
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.43649298428
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.43649298424
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.43649298411
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.43649298416
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.43649298411
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.43649298393
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.436492984019999
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.43649298398
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.722550028
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.722550028069999
0.0171627,0.3029066,2.336536,24063.912,2438.91,5.72325460202
0.01716269989,0.3029066,2.336536,24063.912,2438.91,5.723254602080001
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.0241077
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.02410770006
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.02410769997
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.02410770003
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.02410769995
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.341166
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.341166
0.0171627001,0.3029066,2.336536,24063.912,2438.91,6.341166
0.017162700019999998,0.30290659995999997,2.336536,24063.912,2438.91,6.341166
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.341166
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.341166
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.341166
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.341166
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.341166
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.341166
0.0171627,0.3029066,2.336536,24063.912,2438.91,6.341166
0.0171626999,0.3029066,2.336536,24063.912,2438.91,6.341166
0.0171626999,0.3029066,2.336536,24063.912,2438.91,6.341166
0.0171626999,0.3029066,2.336536,24063.912,2438.91,6.341166
0.0171627001,0.3029066,2.336536,24063.912,2438.91,6.341166
